Start Year,Country,Start Month,Disaster Subtype,COUNT
2005,Türkiye,3,Ground movement,1
2005,Türkiye,3,Landslide (wet),1
2005,Türkiye,6,Ground movement,1
2005,Türkiye,7,Flood (General),1
2005,Türkiye,8,Flash flood,1
2005,Türkiye,12,Severe winter conditions,1
2005,Uzbekistan,2,Flash flood,1
2005,Viet Nam,5,Drought,1
2005,Viet Nam,5,Riverine flood,1
2005,Viet Nam,8,Storm (General),1
2005,Viet Nam,9,Riverine flood,1
2005,Viet Nam,9,Tropical cyclone,2
2005,Viet Nam,10,Flash flood,1
2005,Viet Nam,10,Riverine flood,1
2005,Viet Nam,11,Tropical cyclone,1
2005,Viet Nam,12,Riverine flood,1
2005,Yemen,4,Riverine flood,1
2005,Yemen,8,Flash flood,1
2005,Yemen,12,Landslide (wet),1
2006,Afghanistan,1,Avalanche (wet),1
2006,Afghanistan,1,Landslide (wet),1
2006,Afghanistan,1,Storm (General),1
2006,Afghanistan,2,Blizzard/Winter storm,1
2006,Afghanistan,4,Flash flood,1
2006,Afghanistan,5,Riverine flood,2
2006,Afghanistan,7,Drought,1
2006,Afghanistan,7,Flash flood,1
2006,Afghanistan,7,Ground movement,1
2006,Afghanistan,7,Riverine flood,2
2006,Afghanistan,11,Flash flood,1
2006,Bangladesh,3,Tornado,1
2006,Bangladesh,4,Storm (General),1
2006,Bangladesh,4,Tropical cyclone,2
2006,Bangladesh,5,Riverine flood,1
2006,Bangladesh,8,Riverine flood,1
2006,Bangladesh,9,Tropical cyclone,1
2006,Cambodia,7,Riverine flood,1
2006,Cambodia,8,Riverine flood,1
2006,China,1,Blizzard/Winter storm,1
2006,China,1,Ground movement,1
2006,China,4,Hail,1
2006,China,4,Riverine flood,2
2006,China,5,Drought,1
2006,China,5,Riverine flood,3
2006,China,5,Tropical cyclone,1
2006,China,6,Flash flood,1
2006,China,6,Ground movement,1
2006,China,6,Landslide (dry),1
2006,China,6,Riverine flood,7
2006,China,7,Flash flood,1
2006,China,7,Ground movement,1
2006,China,7,Landslide (wet),1
2006,China,7,Riverine flood,4
2006,China,7,Tropical cyclone,2
2006,China,8,Flash flood,1
2006,China,8,Ground movement,1
2006,China,8,Tropical cyclone,2
2006,China,10,Ground movement,1
2006,China,10,Riverine flood,1
2006,China,10,Tropical cyclone,1
2006,China,11,Ground movement,1
2006,Democratic People's Republic of Korea,7,Flash flood,1
2006,Democratic People's Republic of Korea,10,Coastal flood,1
2006,Georgia,4,Riverine flood,1
2006,India,3,Riverine flood,1
2006,India,4,Flash flood,1
2006,India,5,Heat wave,1
2006,India,5,Lightning/Thunderstorms,1
2006,India,5,Riverine flood,3
2006,India,6,Riverine flood,1
2006,India,7,Riverine flood,4
2006,India,8,Flash flood,1
2006,India,8,Riverine flood,4
2006,India,9,Tropical cyclone,1
2006,India,10,Flash flood,1
2006,India,10,Riverine flood,1
2006,Indonesia,1,Landslide (wet),2
2006,Indonesia,1,Riverine flood,1
2006,Indonesia,2,Flash flood,1
2006,Indonesia,3,Tsunami,1
2006,Indonesia,4,Ash fall,1
2006,Indonesia,4,Riverine flood,1
2006,Indonesia,5,Ground movement,1
2006,Indonesia,6,Flash flood,2
2006,Indonesia,6,Flood (General),1
2006,Indonesia,6,Riverine flood,1
2006,Indonesia,7,Tsunami,1
2006,Indonesia,8,Forest fire,1
2006,Indonesia,12,Flash flood,1
2006,Indonesia,12,Ground movement,2
2006,Indonesia,12,Landslide (wet),1
2006,Iran (Islamic Republic of),2,Ground movement,1
2006,Iran (Islamic Republic of),3,Ground movement,1
2006,Iran (Islamic Republic of),5,Ground movement,1
2006,Iran (Islamic Republic of),5,Riverine flood,1
