Start Year,Country,Disaster Subtype,COUNT
2014,Canada,Flash flood,1
2014,Chile,Ground movement,1
2014,Chile,"Land fire (Brush, Bush, Pasture)",1
2014,Chile,Riverine flood,1
2014,Colombia,Lightning/Thunderstorms,1
2014,Colombia,Riverine flood,4
2014,Dominican Republic,Flash flood,1
2014,Ecuador,Ground movement,1
2014,Guatemala,Drought,1
2014,Guatemala,Ground movement,1
2014,Guatemala,Riverine flood,1
2014,Guatemala,Severe winter conditions,1
2014,Guatemala,Tropical cyclone,1
2014,Haiti,Drought,1
2014,Haiti,Flash flood,1
2014,Honduras,Drought,1
2014,Honduras,Riverine flood,2
2014,Jamaica,Drought,1
2014,Mexico,Ground movement,2
2014,Mexico,Tropical cyclone,6
2014,Nicaragua,Drought,1
2014,Nicaragua,Ground movement,1
2014,Nicaragua,Riverine flood,1
2014,Panama,Riverine flood,1
2014,Paraguay,Riverine flood,2
2014,Peru,Cold wave,1
2014,Peru,Ground movement,1
2014,Peru,Riverine flood,3
2014,Puerto Rico,Flash flood,1
2014,United States of America,Blizzard/Winter storm,7
2014,United States of America,Cold wave,1
2014,United States of America,Drought,1
2014,United States of America,Flash flood,1
2014,United States of America,Forest fire,1
2014,United States of America,Ground movement,1
2014,United States of America,Landslide (wet),1
2014,United States of America,Lightning/Thunderstorms,4
2014,United States of America,Riverine flood,1
2014,United States of America,Severe weather,1
2014,United States of America,Tropical cyclone,1
2015,Argentina,Ash fall,1
2015,Argentina,Riverine flood,3
2015,Argentina,Storm (General),1
2015,Bahamas,Tropical cyclone,1
2015,Belize,Flood (General),1
