Start Year,Country,province,Disaster Subtype,COUNT
2014,Thailand,Phra Nakhon Si Ayudhya,riverine flood,1
2014,Viet Nam,Yen Bai,tropical cyclone,1
2015,China,Anhui Sheng,tropical cyclone,1
2015,China,Chongqing Shi,riverine flood,1
2015,China,Fujian Sheng,flood (general),1
2015,China,Gansu Sheng,severe weather,1
2015,China,Guangxi Zhuangzu Zizhiqu,lightning/thunderstorms,1
2015,China,Hainan Sheng,flood (general),1
2015,China,Hainan Sheng,tropical cyclone,1
2015,China,Hunan Sheng,flood (general),1
2015,China,Jiangxi Sheng,riverine flood,1
2015,China,Jiangxi Sheng,tropical cyclone,1
2015,China,Ningxia Huizu Zizhiqu,drought,1
2015,China,Shaanxi Sheng,severe weather,3
2015,China,Shandong Sheng,severe weather,1
2015,China,Sichuan Sheng,riverine flood,2
2015,China,Xinjiang Uygur Zizhiqu,ground movement,2
2015,China,Xizang Zizhiqu,blizzard/winter storm,1
2015,China,Yunnan Sheng,flood (general),2
2015,China,Yunnan Sheng,ground movement,1
2015,China,Zhejiang Sheng,flood (general),1
2015,China,Zhejiang Sheng,tropical cyclone,1
2015,Georgia,Tbilisi,flash flood,1
2015,India,Jammu and Kashmir,flash flood,1
2015,India,Maharashtra,riverine flood,1
2015,India,Puducherry,flood (general),1
2015,India,West Bengal,lightning/thunderstorms,1
2015,Indonesia,Kalimantan Barat,forest fire,1
2015,Indonesia,Nusatenggara Barat,riverine flood,1
2015,Iran (Islamic Republic of),Kerman,flash flood,1
2015,Japan,Ibaraki,riverine flood,1
2015,Japan,Okinawa,tropical cyclone,1
2015,Japan,Tokusima,tropical cyclone,1
2015,Kazakhstan,Karagandinskaya,flash flood,1
2015,Nepal,Western,ground movement,1
2015,Philippines,ARMM,flood (general),1
2015,Philippines,NCR,flood (general),1
2015,Saudi Arabia,Riyad,riverine flood,1
2015,Viet Nam,Vinh Long,drought,1
2015,Yemen,Shabwah,tropical cyclone,1
2016,China,Beijing Shi,storm (general),1
2016,China,Beijing Shi,tornado,1
2016,China,Fujian,flood (general),1
2016,China,Fujian Sheng,riverine flood,1
2016,China,Guangxi Zhuangzu Zizhiqu,riverine flood,1
2016,China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,1
2016,China,Guizhou Sheng,flash flood,1
2016,China,Guizhou Sheng,flood (general),1
2016,China,Hainan Sheng,storm (general),1
2016,China,Liaoning Sheng,severe weather,1
2016,China,Nei Mongol Zizhiqu,cold wave,1
2016,China,Nei Mongol Zizhiqu,drought,1
2016,China,Qinghai Sheng,lightning/thunderstorms,1
2016,China,Shandong Sheng,lightning/thunderstorms,1
2016,China,Yunnan,mudslide,1
2016,China,Yunnan Sheng,flood (general),2
2016,China,Zhejiang Sheng,flood (general),2
2016,China,Zhejiang Sheng,tropical cyclone,1
2016,India,Arunachal Pradesh,flash flood,1
2016,India,Assam,ground movement,1
2016,India,Nagaland,flood (general),1
2016,India,Uttar Pradeshr,flood (general),1
2016,Indonesia,Jambi,flood (general),1
2016,Israel,Haifa,"land fire (brush, bush, pasture)",1
2016,Japan,Miyazaki,ground movement,1
2016,Japan,Tiba,tropical cyclone,1
2016,Japan,Tottori,ground movement,1
2016,Lao People's Democratic Republic,Louangphabang,flood (general),1
2016,Myanmar,Mandalay,lightning/thunderstorms,1
2016,Myanmar,Sagaing,ground movement,1
2016,Myanmar,Shin,lightning/thunderstorms,1
2016,Philippines,Mountain,flood (general),1
2016,Philippines,Mountain,tropical cyclone,1
2016,Taiwan (Province of China),Taiwan Sheng,ground movement,1
2016,Thailand,Narathiwat,flood (general),1
2016,Viet Nam,Binh Dinh,flood (general),1
2016,Viet Nam,Nghe An,tropical cyclone,2
2016,Viet Nam,Thai Binh and Ninh Binh,tropical cyclone,1
2016,Viet Nam,Thua Thien Hue,riverine flood,1
2017,China,Fujian,flood (general),1
2017,China,Henan,severe weather,1
2017,China,Sichuan,lightning/thunderstorms,1
2017,Iran (Islamic Republic of),Khorazan Razavi,flash flood,1
